index,result,time,csm_result,csm_time
chc-lia-lin-0234.smt2,sat,5.56,sat,5.79
chc-lia-lin-0235.smt2,sat,8.68,sat,8.21
chc-lia-lin-0236.smt2,sat,8.17,sat,8.63
chc-lia-lin-0237.smt2,sat,7.29,sat,8.15
chc-lia-lin-0238.smt2,sat,7.55,sat,7.40
chc-lia-lin-0239.smt2,sat,6.95,sat,7.71
chc-lia-lin-0240.smt2,sat,7.38,sat,9.95
chc-lia-lin-0241.smt2,sat,7.75,sat,10.41
chc-lia-lin-0242.smt2,sat,6.99,sat,11.05
chc-lia-lin-0243.smt2,sat,7.10,sat,11.00
chc-lia-lin-0244.smt2,sat,8.75,sat,11.06
chc-lia-lin-0245.smt2,sat,8.97,sat,10.27
chc-lia-lin-0246.smt2,sat,0.79,sat,0.92
chc-lia-lin-0247.smt2,sat,1.07,sat,1.89
chc-lia-lin-0248.smt2,sat,8.39,sat,11.04
chc-lia-lin-0249.smt2,unsat,0.19,unsat,0.22
chc-lia-lin-0250.smt2,unsat,1.34,unsat,1.59
chc-lia-lin-0251.smt2,timeout,927.19,sat,360.31
chc-lia-lin-0252.smt2,unsat,0.68,unsat,0.82
chc-lia-lin-0253.smt2,sat,34.56,sat,102.33
chc-lia-lin-0254.smt2,sat,222.22,sat,219.14
chc-lia-lin-0255.smt2,unsat,2.73,unsat,3.15
chc-lia-lin-0256.smt2,unsat,70.29,unsat,123.55
chc-lia-lin-0257.smt2,sat,13.66,sat,16.93
chc-lia-lin-0258.smt2,timeout,928.30,timeout,928.87
chc-lia-lin-0259.smt2,sat,3.06,sat,3.52
chc-lia-lin-0260.smt2,sat,15.16,sat,15.84
chc-lia-lin-0261.smt2,sat,14.13,sat,15.21
chc-lia-lin-0262.smt2,sat,13.52,sat,14.23
chc-lia-lin-0263.smt2,sat,12.01,sat,12.42
chc-lia-lin-0264.smt2,sat,19.16,sat,19.69
chc-lia-lin-0265.smt2,sat,15.49,sat,15.41
chc-lia-lin-0266.smt2,sat,11.15,sat,11.34
chc-lia-lin-0267.smt2,sat,19.22,sat,22.06
chc-lia-lin-0268.smt2,timeout,924.46,timeout,926.19
chc-lia-lin-0269.smt2,sat,26.71,sat,25.65
chc-lia-lin-0270.smt2,sat,19.78,sat,20.62
chc-lia-lin-0271.smt2,sat,16.44,sat,17.85
chc-lia-lin-0272.smt2,sat,12.48,sat,14.20
chc-lia-lin-0273.smt2,sat,43.38,sat,36.08
chc-lia-lin-0274.smt2,sat,21.32,sat,22.18
chc-lia-lin-0275.smt2,sat,25.96,sat,35.95
chc-lia-lin-0276.smt2,sat,14.27,sat,15.26
chc-lia-lin-0277.smt2,sat,23.45,sat,23.22
chc-lia-lin-0278.smt2,timeout,924.78,timeout,925.00
chc-lia-lin-0279.smt2,timeout,925.82,timeout,925.78
chc-lia-lin-0280.smt2,sat,14.97,sat,20.83
chc-lia-lin-0281.smt2,sat,271.22,sat,259.14
chc-lia-lin-0282.smt2,unsat,8.15,unsat,8.91
chc-lia-lin-0283.smt2,timeout,927.83,sat,214.68
chc-lia-lin-0284.smt2,sat,615.30,sat,424.06
chc-lia-lin-0285.smt2,sat,705.12,sat,578.34
chc-lia-lin-0286.smt2,sat,411.77,sat,246.05
chc-lia-lin-0287.smt2,sat,335.00,sat,565.72
chc-lia-lin-0288.smt2,sat,543.75,sat,832.28
chc-lia-lin-0289.smt2,sat,144.28,sat,201.80
chc-lia-lin-0290.smt2,sat,148.65,sat,168.10
chc-lia-lin-0291.smt2,sat,422.71,sat,220.09
chc-lia-lin-0292.smt2,timeout,918.96,sat,361.47
chc-lia-lin-0293.smt2,unsat,79.62,unsat,257.23
chc-lia-lin-0294.smt2,sat,740.45,timeout,925.14
chc-lia-lin-0295.smt2,timeout,881.54,timeout,925.06
chc-lia-lin-0296.smt2,sat,41.57,timeout,924.38
chc-lia-lin-0297.smt2,unsat,43.87,unsat,16.23
chc-lia-lin-0298.smt2,sat,89.03,sat,880.01
chc-lia-lin-0299.smt2,unsat,25.71,unsat,22.74
chc-lia-lin-0300.smt2,sat,85.99,timeout,927.71
chc-lia-lin-0301.smt2,unsat,17.65,unsat,19.76
chc-lia-lin-0302.smt2,unsat,47.11,unsat,24.46
chc-lia-lin-0303.smt2,timeout,884.56,timeout,929.57
chc-lia-lin-0304.smt2,sat,49.97,timeout,929.37
chc-lia-lin-0305.smt2,unsat,7.44,unsat,4.68
chc-lia-lin-0306.smt2,sat,248.15,timeout,929.33
chc-lia-lin-0307.smt2,unsat,1.04,unsat,1.20
chc-lia-lin-0308.smt2,timeout,888.96,timeout,929.01
chc-lia-lin-0309.smt2,unsat,4.09,unsat,6.40
chc-lia-lin-0310.smt2,unsat,261.77,unsat,137.50
chc-lia-lin-0311.smt2,unsat,0.30,unsat,0.30
chc-lia-lin-0312.smt2,unsat,85.82,unsat,90.52
chc-lia-lin-0313.smt2,timeout,925.86,unsat,39.51
chc-lia-lin-0314.smt2,memout,,memout,
chc-lia-lin-0315.smt2,unsat,98.26,unsat,89.18
chc-lia-lin-0316.smt2,sat,168.95,sat,88.60
chc-lia-lin-0317.smt2,timeout,884.21,timeout,929.67
chc-lia-lin-0318.smt2,timeout,885.27,timeout,929.62
chc-lia-lin-0319.smt2,timeout,864.61,timeout,929.72
chc-lia-lin-0320.smt2,timeout,663.19,memout,
chc-lia-lin-0321.smt2,timeout,682.43,memout,
chc-lia-lin-0322.smt2,memout,,memout,
chc-lia-lin-0323.smt2,memout,,memout,
chc-lia-lin-0324.smt2,memout,,memout,
chc-lia-lin-0325.smt2,memout,,memout,
